gadmid,dslr_med,lsl_med,n_seg_ir,var_med
3703,-0.03550001233816147,0.4645000249147415,2,0.42900001257658005
3708,-0.008000002708286047,0.4816666841506958,3,0.47366668144240975
3709,-0.03500001132488251,0.4520000219345093,1,0.41700001060962677
3710,0.008000003173947334,0.5175000131130219,2,0.5255000162869692
3711,-0.03500001132488251,0.4520000219345093,1,0.41700001060962677
3712,-0.03500001132488251,0.4520000219345093,1,0.41700001060962677
3714,0.008500006049871445,0.5315000116825104,1,0.5400000177323818
3717,0.008500006049871445,0.5315000116825104,1,0.5400000177323818
3718,0.004999985918402672,0.4930000305175781,1,0.4980000164359808
3722,-0.03400001674890518,0.44200003147125244,1,0.40800001472234726
3730,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3733,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3734,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3736,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3737,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3738,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3742,-0.026500015519559383,0.5115000307559967,1,0.4850000152364373
3743,-0.02183332957793027,0.5025833447774252,6,0.4807500151994949
3744,-0.026500015519559383,0.5115000307559967,1,0.4850000152364373
3746,-0.020500002312473953,0.497500017285347,1,0.47700001497287303
3748,-0.025999993085861206,0.46700000762939453,1,0.4410000145435333
3749,-0.022499987855553627,0.5090000033378601,1,0.4865000154823065
3753,-0.02250000834465027,0.5305000245571136,1,0.5080000162124634
3754,-0.03900002490263432,0.5085000395774841,2,0.4695000146748498
3755,-0.026375000132247806,0.5150000154972076,4,0.48862501536495984
3757,-0.02250000834465027,0.5305000245571136,1,0.5080000162124634
3758,-0.04000001749955118,0.5160000324249268,1,0.4760000149253756
3759,-0.04000001749955118,0.5160000324249268,1,0.4760000149253756
3760,-0.04000001749955118,0.5160000324249268,1,0.4760000149253756
3761,-0.024250000715255737,0.4987500160932541,2,0.47450001537799835
3762,-0.04000001749955118,0.5160000324249268,1,0.4760000149253756
3763,-0.04000001749955118,0.5160000324249268,1,0.4760000149253756
3764,-0.04000001749955118,0.5160000324249268,1,0.4760000149253756
